element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
286, 1, 10, 2, False, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 12, 11.4, 0.6, 0.0, 1.2, 50, 0, 7181, 0, 0, 
286, 17, 13, 0, True, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -139, 13451, 1186, 1325, 
286, 26, 6, 1, True, 2019-08-24T11:30:00Z, 2, 3, 3, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4.2, 1.6, 0.0, 0.6, 50, -1481, 12106, 265, 1746, 
286, 40, 19, 1, False, 2019-08-31T14:00:00Z, 2, 0, 4, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9.6, 28.8, 0.0, 3.8, 50, -954, 11509, 491, 1445, 
286, 46, 11, 6, True, 2019-09-14T16:30:00Z, 3, 2, 5, 90, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 37, 59.2, 1.1, 17.0, 7.7, 49, -675, 11129, 334, 1009, 
286, 52, 5, 2, False, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 18, 8.2, 3.0, 0.0, 1.1, 49, 2197, 13931, 2899, 702, 
286, 64, 7, 2, False, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 16.4, 2.0, 2.0, 2.0, 49, 133, 14241, 1190, 1057, 
286, 77, 2, 2, True, 2019-10-05T14:00:00Z, 1, 5, 8, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 7, 8.8, 13.9, 1.0, 2.4, 49, 496, 14988, 1433, 937, 
286, 82, 3, 2, False, 2019-10-19T14:00:00Z, 0, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 2, 7.4, 12.9, 41.0, 6.1, 49, -1239, 13722, 286, 1525, 
286, 97, 12, 2, True, 2019-10-27T16:30:00Z, 1, 3, 10, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 20.4, 3.6, 0.0, 2.4, 49, -312, 13520, 173, 485, 
286, 104, 4, 2, False, 2019-11-02T15:00:00Z, 2, 0, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 15.6, 3.3, 0.0, 1.9, 49, -307, 13293, 413, 720, 
