element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
111, 9, 12, 0, False, 2019-08-11T15:30:00Z, 4, 0, 1, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 9, 7.0, 0.0, 0.0, 0.7, 55, 0, 282338, 0, 0, 
111, 14, 9, 2, True, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 18, 23.0, 0.0, 0.0, 2.3, 55, 17885, 348004, 52472, 34587, 
111, 26, 14, 2, False, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 14, 24.0, 0.0, 0.0, 2.4, 55, -10200, 354050, 18678, 28878, 
111, 33, 15, 1, True, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 0, 19, 10.2, 0.0, 0.0, 1.0, 55, -5228, 365386, 25511, 30739, 
111, 50, 20, 2, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 18, 27.2, 0.0, 0.0, 2.7, 55, -35954, 334228, 5299, 41253, 
111, 53, 10, 1, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 10, 11.6, 0.0, 0.0, 1.2, 55, -20904, 318926, 3110, 24014, 
111, 63, 4, 6, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 23, 18.0, 0.0, 0.0, 1.8, 55, 3749, 330387, 21717, 17968, 
111, 78, 16, 2, False, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 10, 7.6, 0.0, 0.0, 0.8, 55, 6904, 341347, 16695, 9791, 
111, 83, 13, 6, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2.8, 0.0, 0.0, 0.3, 55, 39774, 388159, 53192, 13418, 
111, 93, 5, 2, False, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 14, 24.2, 0.0, 0.0, 2.4, 55, 3339, 392397, 11226, 7887, 
111, 109, 18, 2, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 15, 21.0, 0.0, 0.0, 2.1, 55, -3962, 392100, 10382, 14344, 
