code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059780, 18, None, 15, None, 8, False, 0, Gameweek 8, False, 
1059789, 15, None, 1, None, 9, False, 0, Gameweek 9, True, 
1059801, 19, None, 15, None, 10, False, 0, Gameweek 10, False, 
1059809, 15, None, 5, None, 11, False, 0, Gameweek 11, True, 
1059820, 17, None, 15, None, 12, False, 0, Gameweek 12, False, 
1059829, 15, None, 12, None, 13, False, 0, Gameweek 13, True, 
1059841, 20, None, 15, None, 14, False, 0, Gameweek 14, False, 
1059846, 15, None, 13, None, 15, False, 0, Gameweek 15, True, 
1059858, 14, None, 15, None, 16, False, 0, Gameweek 16, False, 
1059869, 15, None, 2, None, 17, False, 0, Gameweek 17, True, 
1059874, 4, None, 15, None, 18, False, 0, Gameweek 18, False, 
1059889, 15, None, 18, None, 19, False, 0, Gameweek 19, True, 
1059896, 11, None, 15, None, 20, False, 0, Gameweek 20, False, 
1059905, 10, None, 15, None, 21, False, 0, Gameweek 21, False, 
1059919, 15, None, 19, None, 22, False, 0, Gameweek 22, True, 
1059922, 1, None, 15, None, 23, False, 0, Gameweek 23, False, 
1059937, 15, None, 11, None, 24, False, 0, Gameweek 24, True, 
1059944, 7, None, 15, None, 25, False, 0, Gameweek 25, False, 
1059959, 15, None, 3, None, 26, False, 0, Gameweek 26, True, 
1059969, 15, None, 4, None, 27, False, 0, Gameweek 27, True, 
1059973, 2, None, 15, None, 28, False, 0, Gameweek 28, False, 
1059989, 15, None, 14, None, 29, False, 0, Gameweek 29, True, 
1059997, 13, None, 15, None, 30, False, 0, Gameweek 30, False, 
1060006, 12, None, 15, None, 31, False, 0, Gameweek 31, False, 
1060019, 15, None, 17, None, 32, False, 0, Gameweek 32, True, 
1060022, 5, None, 15, None, 33, False, 0, Gameweek 33, False, 
1060039, 15, None, 20, None, 34, False, 0, Gameweek 34, True, 
1060048, 15, None, 6, None, 35, False, 0, Gameweek 35, True, 
1060057, 9, None, 15, None, 36, False, 0, Gameweek 36, False, 
1060068, 15, None, 8, None, 37, False, 0, Gameweek 37, True, 
1060080, 16, None, 15, None, 38, False, 0, Gameweek 38, False, 
