code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home,
1059814, 9, None, 1, None, 12, False, 0, Gameweek 12, False, 
1059823, 1, None, 16, None, 13, False, 0, Gameweek 13, True, 
1059838, 14, None, 1, None, 14, False, 0, Gameweek 14, False, 
1059842, 1, None, 4, None, 15, False, 0, Gameweek 15, True, 
1059861, 19, None, 1, None, 16, False, 0, Gameweek 16, False, 
1059862, 1, None, 11, None, 17, False, 0, Gameweek 17, True, 
1059875, 8, None, 1, None, 18, False, 0, Gameweek 18, False, 
1059882, 3, None, 1, None, 19, False, 0, Gameweek 19, False, 
1059892, 1, None, 6, None, 20, False, 0, Gameweek 20, True, 
1059902, 1, None, 12, None, 21, False, 0, Gameweek 21, True, 
1059915, 7, None, 1, None, 22, False, 0, Gameweek 22, False, 
1059922, 1, None, 15, None, 23, False, 0, Gameweek 23, True, 
1059939, 6, None, 1, None, 24, False, 0, Gameweek 24, False, 
1059943, 5, None, 1, None, 25, False, 0, Gameweek 25, False, 
1059952, 1, None, 13, None, 26, False, 0, Gameweek 26, True, 
1059962, 1, None, 8, None, 27, False, 0, Gameweek 27, True, 
1059976, 11, None, 1, None, 28, False, 0, Gameweek 28, False, 
1059982, 1, None, 19, None, 29, False, 0, Gameweek 29, True, 
1059994, 4, None, 1, None, 30, False, 0, Gameweek 30, False, 
1060009, 16, None, 1, None, 31, False, 0, Gameweek 31, False, 
1060013, 1, None, 14, None, 32, False, 0, Gameweek 32, True, 
1060031, 20, None, 1, None, 33, False, 0, Gameweek 33, False, 
1060033, 1, None, 9, None, 34, False, 0, Gameweek 34, True, 
1060049, 17, None, 1, None, 35, False, 0, Gameweek 35, False, 
1060052, 1, None, 10, None, 36, False, 0, Gameweek 36, True, 
1060063, 2, None, 1, None, 37, False, 0, Gameweek 37, False, 
1060072, 1, None, 18, None, 38, False, 0, Gameweek 38, True, 
