element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
345, 6, 2, 5, True, 2019-08-10T16:30:00Z, 3, 1, 1, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 19, 24.4, 39.4, 32.0, 9.6, 75, 0, 608669, 0, 0, 
345, 16, 11, 6, False, 2019-08-17T16:30:00Z, 2, 2, 2, 34, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 35.2, 0.1, 66.0, 10.1, 75, -54503, 620126, 53134, 107637, 
345, 28, 13, 2, True, 2019-08-25T15:30:00Z, 0, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 5.8, 25.0, 2.7, 75, 11230, 663307, 106083, 94853, 
345, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 75, -82722, 587964, 44577, 127299, 
345, 48, 7, 1, True, 2019-09-14T14:00:00Z, 4, 0, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.1, 0.0, 0.0, 74, -121631, 473857, 18379, 140010, 
345, 56, 9, 1, False, 2019-09-21T11:30:00Z, 2, 1, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2.2, 1.7, 2.0, 0.6, 73, -88926, 390852, 8944, 97870, 
345, 69, 16, 0, True, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 72, -63015, 331827, 9597, 72612, 
345, 72, 4, 1, False, 2019-10-05T11:30:00Z, 3, 0, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10.4, 11.4, 26.0, 4.8, 72, -39874, 294491, 5513, 45387, 
345, 89, 18, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 62, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 3.8, 14.6, 24.0, 4.2, 71, -21166, 275711, 4236, 25402, 
345, 94, 10, 1, False, 2019-10-27T16:30:00Z, 2, 1, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2.0, 0.3, 0.0, 0.2, 71, -11951, 264739, 920, 12871, 
345, 106, 8, 2, False, 2019-11-03T16:30:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 13.6, 3.1, 11.0, 2.8, 71, -15152, 250421, 1085, 16237, 
