element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
70, 2, 3, 0, False, 2019-08-10T14:00:00Z, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 25874, 0, 0, 
70, 18, 7, 0, True, 2019-08-18T13:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -3879, 24532, 1136, 5015, 
70, 27, 9, 0, True, 2019-08-24T14:00:00Z, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -3334, 22405, 1653, 4987, 
70, 33, 6, 1, False, 2019-08-31T14:00:00Z, 2, 2, 4, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 4.2, 10.5, 0.0, 1.5, 49, -2979, 20502, 1280, 4259, 
70, 47, 16, 1, True, 2019-09-14T14:00:00Z, 0, 1, 5, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.2, 0.3, 24.0, 2.5, 49, -317, 21400, 2521, 2838, 
70, 55, 8, 5, False, 2019-09-21T14:00:00Z, 0, 2, 6, 28, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 32.0, 1.0, 19.0, 5.2, 49, -866, 20955, 1438, 2304, 
70, 68, 10, 1, True, 2019-09-28T11:30:00Z, 0, 1, 7, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 1.7, 2.0, 0.4, 49, 7279, 29971, 10256, 2977, 
70, 79, 18, 1, False, 2019-10-05T14:00:00Z, 0, 0, 8, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4.4, 0.9, 12.0, 1.7, 49, 5508, 36361, 8705, 3197, 
70, 88, 1, 6, True, 2019-10-21T19:00:00Z, 1, 0, 9, 55, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 31.0, 2.8, 41.0, 7.5, 49, -1528, 34898, 2406, 3934, 
70, 100, 19, 7, False, 2019-10-26T14:00:00Z, 1, 1, 10, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27, 38.2, 0.6, 17.0, 5.6, 49, 5063, 40912, 6911, 1848, 
70, 108, 5, 13, True, 2019-11-02T15:00:00Z, 3, 0, 11, 64, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 2, 40, 50.6, 45.2, 35.0, 13.1, 49, 20266, 63361, 23842, 3576, 
70, 119, 17, 2, False, 2019-11-09T15:00:00Z, 1, 1, 12, 87, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 4.2, 0.4, 62.0, 6.7, 49, 54860, 121626, 61518, 6658, 
70, 128, 12, 7, True, 2019-11-24T16:30:00Z, 3, 3, 13, 67, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 29, 33.2, 11.1, 11.0, 5.5, 50, 69219, 196282, 85132, 15913, 
70, 140, 20, 9, False, 2019-12-01T14:00:00Z, 1, 1, 14, 85, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 30, 33.0, 26.3, 29.0, 8.8, 50, 78263, 275220, 95734, 17471, 
70, 145, 13, 0, True, 2019-12-05T19:30:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 51, 206671, 487875, 212079, 5408, 
