element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
233, 9, 6, 13, True, 2019-08-11T15:30:00Z, 4, 0, 1, 85, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 53, 71.8, 4.9, 58.0, 13.5, 85, 0, 931252, 0, 0, 
233, 20, 20, 6, False, 2019-08-19T19:00:00Z, 1, 1, 2, 88, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 22, 17.8, 25.2, 9.0, 5.2, 86, 271490, 1448980, 312546, 41056, 
233, 25, 7, 0, True, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, -4, 4.2, 18.3, 29.0, 5.2, 87, 242968, 1768707, 330657, 87689, 
233, 39, 16, 2, False, 2019-08-31T11:30:00Z, 1, 1, 4, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 8.0, 21.8, 118.0, 14.8, 86, -170815, 1609697, 108606, 279421, 
233, 45, 9, 9, True, 2019-09-14T14:00:00Z, 1, 0, 5, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 34, 38.4, 16.0, 20.0, 7.4, 85, -335976, 1289403, 27166, 363142, 
233, 60, 19, 2, False, 2019-09-22T13:00:00Z, 2, 0, 6, 60, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 4.6, 12.5, 6.0, 2.3, 85, -79465, 1233336, 29569, 109034, 
233, 67, 1, 4, True, 2019-09-30T19:00:00Z, 1, 1, 7, 90, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 14, 20.4, 23.1, 38.0, 8.2, 84, -459532, 768173, 3600, 463132, 
233, 76, 13, 2, False, 2019-10-06T15:30:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 6.2, 24.2, 2.0, 3.2, 84, -61607, 722006, 13831, 75438, 
233, 87, 10, 9, True, 2019-10-20T15:30:00Z, 1, 1, 9, 83, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 32, 37.8, 12.0, 24.0, 7.4, 84, -47360, 678570, 7878, 55238, 
233, 97, 14, 9, False, 2019-10-27T16:30:00Z, 1, 3, 10, 90, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 2, 47, 67.0, 29.3, 81.0, 17.7, 84, 56476, 743873, 66069, 9593, 
233, 103, 3, 2, False, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 7.2, 24.9, 24.0, 5.6, 85, 116308, 868996, 147092, 30784, 
