code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059778, 14, None, 2, None, 8, False, 0, Gameweek 8, True, 
1059782, 3, None, 14, None, 9, False, 0, Gameweek 9, False, 
1059798, 14, None, 12, None, 10, False, 0, Gameweek 10, True, 
1059805, 4, None, 14, None, 11, False, 0, Gameweek 11, False, 
1059818, 14, None, 18, None, 12, False, 0, Gameweek 12, True, 
1059827, 8, None, 14, None, 13, False, 0, Gameweek 13, False, 
1059838, 14, None, 1, None, 14, False, 0, Gameweek 14, True, 
1059851, 16, None, 14, None, 15, False, 0, Gameweek 15, False, 
1059858, 14, None, 15, None, 16, False, 0, Gameweek 16, True, 
1059866, 9, None, 14, None, 17, False, 0, Gameweek 17, False, 
1059878, 14, None, 20, None, 18, False, 0, Gameweek 18, True, 
1059883, 2, None, 14, None, 19, False, 0, Gameweek 19, False, 
1059898, 14, None, 17, None, 20, False, 0, Gameweek 20, True, 
1059908, 14, None, 7, None, 21, False, 0, Gameweek 21, True, 
1059918, 12, None, 14, None, 22, False, 0, Gameweek 22, False, 
1059928, 14, None, 3, None, 23, False, 0, Gameweek 23, True, 
1059941, 17, None, 14, None, 24, False, 0, Gameweek 24, False, 
1059948, 13, None, 14, None, 25, False, 0, Gameweek 25, False, 
1059958, 14, None, 10, None, 26, False, 0, Gameweek 26, True, 
1059971, 20, None, 14, None, 27, False, 0, Gameweek 27, False, 
1059978, 14, None, 9, None, 28, False, 0, Gameweek 28, True, 
1059989, 15, None, 14, None, 29, False, 0, Gameweek 29, False, 
1059998, 14, None, 16, None, 30, False, 0, Gameweek 30, True, 
1060008, 14, None, 8, None, 31, False, 0, Gameweek 31, True, 
1060013, 1, None, 14, None, 32, False, 0, Gameweek 32, False, 
1060028, 14, None, 4, None, 33, False, 0, Gameweek 33, True, 
1060040, 18, None, 14, None, 34, False, 0, Gameweek 34, False, 
1060047, 14, None, 19, None, 35, False, 0, Gameweek 35, True, 
1060054, 6, None, 14, None, 36, False, 0, Gameweek 36, False, 
1060067, 14, None, 5, None, 37, False, 0, Gameweek 37, True, 
1060078, 11, None, 14, None, 38, False, 0, Gameweek 38, False, 
