element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
38, 7, 18, 6, False, 2019-08-10T14:00:00Z, 0, 3, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 13.0, 12.6, 2.0, 2.8, 45, 0, 33714, 0, 0, 
38, 13, 19, 2, True, 2019-08-17T14:00:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 19.4, 26.0, 2.0, 4.7, 45, 8345, 50184, 12095, 3750, 
38, 23, 16, 0, True, 2019-08-24T14:00:00Z, 0, 2, 3, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 8, 8.0, 1.8, 10.0, 2.0, 45, 11863, 66000, 23262, 11399, 
38, 37, 11, 0, False, 2019-08-31T14:00:00Z, 4, 0, 4, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 12, 20.2, 17.4, 2.0, 4.0, 45, -6276, 59252, 3703, 9979, 
38, 43, 5, 0, True, 2019-09-14T14:00:00Z, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -2304, 58446, 4926, 7230, 
38, 58, 13, 6, False, 2019-09-21T16:30:00Z, 0, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15.2, 4.1, 2.0, 2.1, 45, -7281, 50983, 436, 7717, 
38, 63, 6, 1, False, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 18.4, 25.3, 0.0, 4.4, 45, -4349, 47122, 861, 5210, 
38, 72, 17, 6, True, 2019-10-05T11:30:00Z, 3, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 8.4, 4.1, 10.0, 2.3, 45, -2819, 44570, 535, 3354, 
38, 81, 2, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 69, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 11.0, 18.8, 20.0, 5.0, 45, 405, 45708, 2771, 2366, 
38, 92, 8, 2, True, 2019-10-26T14:00:00Z, 3, 2, 10, 65, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 4.6, 2.5, 2.0, 0.9, 45, -681, 45123, 941, 1622, 
38, 104, 14, 12, True, 2019-11-02T15:00:00Z, 2, 0, 11, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 50, 39.6, 29.1, 4.0, 7.3, 45, -343, 45117, 1665, 2008, 
