element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
478, 4, 7, 0, False, 2019-08-10T14:00:00Z, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 8985, 0, 0, 
478, 15, 18, 1, True, 2019-08-17T14:00:00Z, 1, 0, 2, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7.4, 0.1, 0.0, 0.8, 45, -927, 10458, 423, 1350, 
478, 21, 2, 0, False, 2019-08-23T19:00:00Z, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -394, 10967, 688, 1082, 
478, 35, 20, 0, True, 2019-09-01T13:00:00Z, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -748, 10744, 330, 1078, 
478, 42, 3, 0, False, 2019-09-15T13:00:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -353, 10951, 573, 926, 
478, 55, 15, 0, True, 2019-09-21T14:00:00Z, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -235, 10938, 278, 513, 
478, 65, 11, 0, True, 2019-09-28T16:30:00Z, 1, 3, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -538, 10537, 158, 696, 
478, 73, 5, 0, False, 2019-10-05T14:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -329, 10337, 101, 430, 
478, 85, 19, 1, True, 2019-10-19T11:30:00Z, 2, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 0.0, 0.0, 0.0, 44, -236, 10207, 95, 331, 
478, 92, 4, 3, False, 2019-10-26T14:00:00Z, 3, 2, 10, 90, 0, 1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 21, 25.0, 13.3, 0.0, 3.8, 44, -96, 10193, 104, 200, 
478, 106, 17, 2, True, 2019-11-03T16:30:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 14.6, 0.6, 0.0, 1.5, 44, 154, 10507, 439, 285, 
