element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
463, 9, 12, 2, False, 2019-08-11T15:30:00Z, 4, 0, 1, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 15, 25.0, 51.8, 20.0, 9.7, 60, 0, 47474, 0, 0, 
463, 14, 9, 10, True, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 27, 50.2, 23.1, 77.0, 15.0, 60, 22692, 86820, 33735, 11043, 
463, 26, 14, 8, False, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 33, 45.4, 30.2, 53.0, 12.9, 61, 284083, 408360, 324297, 40214, 
463, 33, 15, 2, True, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 5.6, 18.0, 9.0, 3.3, 63, 711955, 1168228, 780550, 68595, 
463, 50, 20, 9, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 33, 49.8, 44.8, 29.0, 12.4, 64, 260931, 1454291, 382291, 121360, 
463, 53, 10, 2, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3.8, 16.8, 10.0, 3.1, 65, 58206, 1514588, 265934, 207728, 
463, 63, 4, 6, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 8.6, 27.6, 8.0, 4.4, 66, 355663, 1908601, 435708, 80045, 
463, 78, 16, 7, False, 2019-10-06T13:00:00Z, 1, 4, 8, 79, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 25, 36.0, 23.4, 26.0, 8.5, 67, 276286, 2195805, 314939, 38653, 
463, 83, 13, 3, True, 2019-10-19T14:00:00Z, 1, 0, 9, 63, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.2, 19.4, 19.0, 4.4, 68, 338113, 2560578, 364097, 25984, 
463, 93, 5, 5, False, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 16, 22.0, 23.7, 36.0, 8.2, 68, 38420, 2590431, 101393, 62973, 
463, 109, 18, 1, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 13.0, 14.4, 44.0, 7.1, 69, 20645, 2622473, 109000, 88355, 
