element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
309, 6, 17, 0, False, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 75148, 0, 0, 
309, 12, 3, 0, True, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -9453, 68064, 627, 10080, 
309, 21, 8, 0, True, 2019-08-23T19:00:00Z, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -13264, 55336, 615, 13879, 
309, 34, 7, 0, False, 2019-08-31T14:00:00Z, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -11473, 44100, 341, 11814, 
309, 41, 19, 0, True, 2019-09-16T19:00:00Z, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -9836, 34408, 52, 9888, 
309, 51, 1, 0, False, 2019-09-22T15:30:00Z, 3, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -3353, 31314, 38, 3391, 
309, 61, 5, 9, True, 2019-09-28T14:00:00Z, 2, 2, 7, 61, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 31, 11.2, 17.2, 2.0, 3.0, 44, -2535, 28941, 170, 2705, 
309, 77, 14, 5, False, 2019-10-05T14:00:00Z, 1, 5, 8, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 26, 34.6, 33.3, 2.0, 7.0, 44, -1, 29286, 1065, 1066, 
309, 81, 4, 10, True, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 41, 63.8, 44.7, 20.0, 12.9, 44, 2184, 32027, 3353, 1169, 
309, 95, 11, 1, False, 2019-10-26T11:30:00Z, 3, 0, 10, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 17.6, 19.0, 0.0, 3.7, 44, 12247, 46445, 14234, 1987, 
309, 102, 10, 1, True, 2019-11-02T15:00:00Z, 1, 2, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 24.0, 14.6, 0.0, 3.9, 44, 9792, 58752, 13465, 3673, 
