code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059776, 11, None, 20, None, 8, False, 0, Gameweek 8, False, 
1059791, 20, None, 16, None, 9, False, 0, Gameweek 9, True, 
1059797, 13, None, 20, None, 10, False, 0, Gameweek 10, False, 
1059803, 1, None, 20, None, 11, False, 0, Gameweek 11, False, 
1059821, 20, None, 2, None, 12, False, 0, Gameweek 12, True, 
1059822, 3, None, 20, None, 13, False, 0, Gameweek 13, False, 
1059841, 20, None, 15, None, 14, False, 0, Gameweek 14, True, 
1059847, 20, None, 19, None, 15, False, 0, Gameweek 15, True, 
1059854, 4, None, 20, None, 16, False, 0, Gameweek 16, False, 
1059871, 20, None, 17, None, 17, False, 0, Gameweek 17, True, 
1059878, 14, None, 20, None, 18, False, 0, Gameweek 18, False, 
1059891, 20, None, 11, None, 19, False, 0, Gameweek 19, True, 
1059895, 10, None, 20, None, 20, False, 0, Gameweek 20, False, 
1059910, 18, None, 20, None, 21, False, 0, Gameweek 21, False, 
1059921, 20, None, 13, None, 22, False, 0, Gameweek 22, True, 
1059929, 16, None, 20, None, 23, False, 0, Gameweek 23, False, 
1059938, 20, None, 10, None, 24, False, 0, Gameweek 24, True, 
1059947, 12, None, 20, None, 25, False, 0, Gameweek 25, False, 
1059961, 20, None, 9, None, 26, False, 0, Gameweek 26, True, 
1059971, 20, None, 14, None, 27, False, 0, Gameweek 27, True, 
1059979, 17, None, 20, None, 28, False, 0, Gameweek 28, False, 
1059991, 20, None, 4, None, 29, False, 0, Gameweek 29, True, 
1060001, 19, None, 20, None, 30, False, 0, Gameweek 30, False, 
1060011, 20, None, 3, None, 31, False, 0, Gameweek 31, True, 
1060014, 2, None, 20, None, 32, False, 0, Gameweek 32, False, 
1060031, 20, None, 1, None, 33, False, 0, Gameweek 33, True, 
1060039, 15, None, 20, None, 34, False, 0, Gameweek 34, False, 
1060051, 20, None, 8, None, 35, False, 0, Gameweek 35, True, 
1060053, 5, None, 20, None, 36, False, 0, Gameweek 36, False, 
1060071, 20, None, 7, None, 37, False, 0, Gameweek 37, True, 
1060074, 6, None, 20, None, 38, False, 0, Gameweek 38, False, 
