element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
136, 4, 8, 2, True, 2019-08-10T14:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 5, 12.0, 1.0, 55.0, 6.8, 55, 0, 8467, 0, 0, 
136, 18, 15, 2, False, 2019-08-18T13:00:00Z, 1, 0, 2, 64, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 5.4, 2.6, 2.0, 1.0, 55, 844, 11693, 2356, 1512, 
136, 25, 12, 0, False, 2019-08-24T14:00:00Z, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1728, 10224, 451, 2179, 
136, 34, 2, 0, True, 2019-08-31T14:00:00Z, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1442, 9290, 313, 1755, 
136, 48, 17, 0, False, 2019-09-14T14:00:00Z, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1196, 8290, 183, 1379, 
136, 54, 20, 0, True, 2019-09-22T13:00:00Z, 1, 1, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -594, 7840, 90, 684, 
136, 64, 14, 1, True, 2019-09-28T14:00:00Z, 2, 0, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.4, 0.4, 0.0, 0.1, 53, -550, 7397, 85, 635, 
136, 80, 19, 0, False, 2019-10-05T16:30:00Z, 1, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -386, 7085, 55, 441, 
136, 84, 11, 0, True, 2019-10-19T16:30:00Z, 0, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -270, 6882, 61, 331, 
136, 91, 1, 0, False, 2019-10-27T16:30:00Z, 2, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -155, 6774, 36, 191, 
136, 105, 9, 1, True, 2019-11-03T14:00:00Z, 0, 2, 11, 16, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0.0, 0.0, 0.0, 52, -187, 6647, 51, 238, 
