element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
143, 4, 7, 8, False, 2019-08-10T14:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 26, 24.8, 0.5, 0.0, 2.5, 55, 0, 159291, 0, 0, 
143, 15, 18, 6, True, 2019-08-17T14:00:00Z, 1, 0, 2, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 27, 31.0, 0.2, 0.0, 3.1, 55, 6752, 193361, 17326, 10574, 
143, 21, 2, 1, False, 2019-08-23T19:00:00Z, 2, 0, 3, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 10.0, 11.1, 6.0, 2.7, 55, 30661, 246010, 46539, 15878, 
143, 35, 20, 1, True, 2019-09-01T13:00:00Z, 3, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 28.2, 0.4, 4.0, 3.3, 55, -2869, 247406, 22074, 24943, 
143, 42, 3, 1, False, 2019-09-15T13:00:00Z, 3, 1, 5, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 12, 13.6, 0.7, 0.0, 1.4, 55, -3428, 249449, 18657, 22085, 
143, 55, 15, 1, True, 2019-09-21T14:00:00Z, 0, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 10.8, 1.7, 2.0, 1.5, 55, -8316, 243922, 6814, 15130, 
143, 65, 11, 1, True, 2019-09-28T16:30:00Z, 1, 3, 7, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 13, 13.2, 0.6, 2.0, 1.6, 55, -29983, 213594, 1514, 31497, 
143, 73, 5, 2, False, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 11.6, 0.3, 11.0, 2.3, 55, -11406, 203909, 1935, 13341, 
143, 85, 19, 7, True, 2019-10-19T11:30:00Z, 2, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 18.2, 0.3, 21.0, 4.0, 55, -7723, 197516, 2760, 10483, 
143, 92, 4, 1, False, 2019-10-26T14:00:00Z, 3, 2, 10, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 6.4, 0.1, 0.0, 0.7, 55, 2189, 201326, 5444, 3255, 
143, 106, 17, 0, True, 2019-11-03T16:30:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -9365, 192237, 2113, 11478, 
