element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
389, 8, 11, 1, True, 2019-08-10T11:30:00Z, 0, 5, 1, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 3.8, 12.3, 0.0, 1.6, 70, 0, 96528, 0, 0, 
389, 13, 4, 1, False, 2019-08-17T14:00:00Z, 1, 1, 2, 45, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6.4, 1.2, 58.0, 6.6, 70, -8385, 93959, 3108, 11493, 
389, 29, 18, 4, False, 2019-08-24T14:00:00Z, 1, 3, 3, 35, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11.2, 14.6, 54.0, 8.0, 70, -10133, 85122, 928, 11061, 
389, 40, 14, 0, True, 2019-08-31T14:00:00Z, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 70, -10930, 75030, 1059, 11989, 
389, 41, 2, 0, False, 2019-09-16T19:00:00Z, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -13611, 61526, 62, 13673, 
389, 60, 12, 0, True, 2019-09-22T13:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -4957, 56986, 28, 4985, 
389, 62, 3, 0, False, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -3635, 53433, 36, 3671, 
389, 80, 7, 0, True, 2019-10-05T16:30:00Z, 1, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -1988, 51493, 36, 2024, 
389, 85, 8, 0, False, 2019-10-19T11:30:00Z, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -1397, 50140, 48, 1445, 
389, 100, 15, 0, True, 2019-10-26T14:00:00Z, 1, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -686, 49509, 15, 701, 
389, 110, 13, 0, True, 2019-11-02T15:00:00Z, 2, 3, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 69, -802, 48713, 15, 817, 
