element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
191, 1, 14, 12, True, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 40, 54.8, 39.7, 39.0, 13.4, 125, 0, 2375465, 0, 0, 
191, 19, 16, 3, False, 2019-08-17T14:00:00Z, 1, 2, 2, 78, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 11.8, 29.0, 4.3, 125, 114282, 2778082, 156910, 42628, 
191, 24, 1, 15, True, 2019-08-24T16:30:00Z, 3, 1, 3, 90, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 43, 71.2, 16.6, 67.0, 15.5, 125, -351541, 2444065, 47097, 398638, 
191, 32, 5, 6, False, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27.0, 38.4, 58.0, 12.3, 125, 243530, 2810462, 291554, 48024, 
191, 44, 13, 9, True, 2019-09-14T11:30:00Z, 3, 1, 5, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 34, 44.6, 41.8, 73.0, 15.9, 125, 31898, 2874525, 124574, 92676, 
191, 53, 6, 5, False, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 14.8, 15.3, 36.0, 6.6, 125, -80384, 2804643, 49872, 130256, 
191, 68, 15, 3, False, 2019-09-28T11:30:00Z, 0, 1, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7.6, 13.3, 68.0, 8.9, 125, 48879, 2889458, 123616, 74737, 
191, 74, 9, 2, True, 2019-10-05T14:00:00Z, 2, 1, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 18.2, 37.7, 94.0, 15.0, 125, -92287, 2797360, 34441, 126728, 
191, 87, 12, 0, False, 2019-10-20T15:30:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 124, -601424, 2186184, 13726, 615150, 
191, 94, 17, 7, True, 2019-10-27T16:30:00Z, 2, 1, 10, 84, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 25, 45.0, 15.3, 93.0, 15.3, 124, -114968, 2096834, 23153, 138121, 
191, 102, 2, 2, False, 2019-11-02T15:00:00Z, 1, 2, 11, 64, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0.0, 1.2, 35.0, 3.5, 124, -101601, 2001830, 29418, 131019, 
