element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
438, 3, 5, 0, False, 2019-08-10T14:00:00Z, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 5892, 0, 0, 
438, 19, 10, 0, True, 2019-08-17T14:00:00Z, 1, 2, 2, 13, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1.4, 0.5, 0.0, 0.2, 55, -905, 5561, 64, 969, 
438, 23, 4, 5, False, 2019-08-24T14:00:00Z, 0, 2, 3, 37, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 24, 41.2, 1.3, 31.0, 7.4, 54, -856, 4896, 132, 988, 
438, 39, 12, 0, True, 2019-08-31T11:30:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, 340, 5501, 1420, 1080, 
438, 47, 15, 11, False, 2019-09-14T14:00:00Z, 0, 1, 5, 73, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 41, 49.4, 11.3, 32.0, 9.3, 54, -1123, 4334, 110, 1233, 
438, 59, 3, 0, True, 2019-09-20T19:00:00Z, 1, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, 10968, 16848, 15570, 4602, 
438, 69, 17, 0, False, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -5574, 10509, 367, 5941, 
438, 78, 6, 0, True, 2019-10-06T13:00:00Z, 1, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -2779, 7901, 95, 2874, 
438, 90, 20, 0, False, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -1272, 6713, 117, 1389, 
438, 98, 9, 0, True, 2019-10-25T19:00:00Z, 0, 9, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 52, -526, 6230, 52, 578, 
438, 107, 11, 1, False, 2019-11-02T15:00:00Z, 2, 1, 11, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 2.6, 0.3, 2.0, 0.5, 52, -512, 5723, 66, 578, 
438, 118, 8, 2, True, 2019-11-09T15:00:00Z, 1, 2, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3.0, 0.6, 3.0, 0.7, 52, 2058, 7976, 2312, 254, 
438, 121, 1, 1, False, 2019-11-23T15:00:00Z, 2, 2, 13, 14, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -1, 5.0, 0.9, 28.0, 3.4, 52, 1168, 9098, 1823, 655, 
438, 138, 18, 5, True, 2019-11-30T17:30:00Z, 2, 1, 14, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 24, 29.8, 12.8, 8.0, 5.1, 52, 452, 9610, 1103, 651, 
438, 150, 14, 1, True, 2019-12-04T19:30:00Z, 2, 1, 15, 71, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, -1, 3.0, 2.0, 5.0, 1.0, 52, 1522, 11210, 1825, 303, 
438, 156, 13, 2, False, 2019-12-08T14:00:00Z, 2, 1, 16, 72, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 12, 5.2, 12.8, 17.0, 3.5, 52, -399, 10809, 541, 940, 
