element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
196, 1, 14, 0, True, 2019-08-09T19:00:00Z, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, 0, 32077, 0, 0, 
196, 19, 16, 0, False, 2019-08-17T14:00:00Z, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 60, -10059, 26267, 1653, 11712, 
196, 24, 1, 0, True, 2019-08-24T16:30:00Z, 3, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, -8983, 17671, 75, 9058, 
196, 32, 5, 0, False, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 59, -3687, 14296, 47, 3734, 
196, 44, 13, 0, True, 2019-09-14T11:30:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, -2020, 12420, 46, 2066, 
196, 53, 6, 0, False, 2019-09-22T15:30:00Z, 1, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, -671, 11832, 40, 711, 
196, 68, 15, 0, False, 2019-09-28T11:30:00Z, 0, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, -264, 11755, 220, 484, 
196, 74, 9, 0, True, 2019-10-05T14:00:00Z, 2, 1, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, 54, 12134, 405, 351, 
196, 87, 12, 1, False, 2019-10-20T15:30:00Z, 1, 1, 9, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1.6, 2.5, 0.0, 0.4, 58, -85, 12469, 315, 400, 
196, 94, 17, 0, True, 2019-10-27T16:30:00Z, 2, 1, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 58, 332, 13044, 580, 248, 
196, 102, 2, 1, False, 2019-11-02T15:00:00Z, 1, 2, 11, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.8, 0.5, 0.0, 0.1, 58, -318, 12986, 427, 745, 
