element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
502, 7, 18, 6, False, 2019-08-10T14:00:00Z, 0, 3, 1, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 34.2, 2.8, 19.0, 5.6, 60, 0, 19770, 0, 0, 
502, 13, 19, 1, True, 2019-08-17T14:00:00Z, 1, 1, 2, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0.2, 5.8, 14.0, 2.0, 60, 22016, 52264, 27995, 5979, 
502, 23, 16, 2, True, 2019-08-24T14:00:00Z, 0, 2, 3, 73, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 7.2, 10.8, 93.0, 11.1, 60, -2552, 49709, 11143, 13695, 
502, 37, 11, 2, False, 2019-08-31T14:00:00Z, 4, 0, 4, 66, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 8, 3.6, 12.0, 10.0, 2.6, 60, -13321, 36784, 2083, 15404, 
502, 43, 5, 8, True, 2019-09-14T14:00:00Z, 1, 1, 5, 83, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 25, 34.4, 2.9, 38.0, 7.5, 60, -1002, 37437, 6463, 7465, 
502, 58, 13, 2, False, 2019-09-21T16:30:00Z, 0, 0, 6, 81, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 4.2, 95.0, 9.9, 60, 4358, 42582, 8883, 4525, 
502, 63, 6, 1, False, 2019-09-28T14:00:00Z, 2, 0, 7, 78, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0.0, 4.1, 2.0, 0.6, 60, -3925, 38765, 3151, 7076, 
502, 72, 17, 7, True, 2019-10-05T11:30:00Z, 3, 0, 8, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 35, 45.4, 24.0, 74.0, 14.3, 60, -2986, 36236, 1838, 4824, 
502, 81, 2, 2, False, 2019-10-19T14:00:00Z, 2, 1, 9, 80, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 5.2, 26.9, 59.0, 9.1, 60, 10458, 48147, 14514, 4056, 
502, 92, 8, 9, True, 2019-10-26T14:00:00Z, 3, 2, 10, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 28, 37.4, 26.1, 29.0, 9.3, 60, 9278, 57812, 12933, 3655, 
502, 104, 14, 2, True, 2019-11-02T15:00:00Z, 2, 0, 11, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0.0, 4.1, 93.0, 9.4, 60, 79145, 142549, 84368, 5223, 
