element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
93, 3, 16, 8, True, 2019-08-10T14:00:00Z, 3, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 28, 25.6, 10.0, 0.0, 3.6, 45, 0, 344271, 0, 0, 
93, 11, 1, 3, False, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 7, 0, 24, 54.0, 10.3, 2.0, 6.6, 45, 55141, 457584, 82331, 27190, 
93, 30, 20, 2, False, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 14, 9.4, 0.0, 0.0, 0.9, 45, 90981, 573817, 127275, 36294, 
93, 32, 10, 2, True, 2019-08-31T16:30:00Z, 0, 3, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 5, 0, 23, 32.2, 0.0, 0.0, 3.2, 45, 99178, 693050, 143033, 43855, 
93, 43, 4, 3, False, 2019-09-14T14:00:00Z, 1, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 19, 31.4, 0.0, 0.0, 3.1, 46, 153960, 870790, 183463, 29503, 
93, 52, 14, 6, True, 2019-09-21T14:00:00Z, 2, 0, 6, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 24, 15.0, 0.0, 0.0, 1.5, 46, 40882, 909245, 62455, 21573, 
93, 61, 2, 1, False, 2019-09-28T14:00:00Z, 2, 2, 7, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 10, 6.6, 0.0, 0.0, 0.7, 46, 75141, 993837, 91322, 16181, 
93, 73, 8, 7, True, 2019-10-05T14:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 25, 14.4, 0.0, 0.0, 1.4, 46, 29005, 1025339, 45631, 16626, 
93, 86, 9, 1, False, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 8, 6.0, 0.0, 0.0, 0.6, 47, 22182, 1049042, 49779, 27597, 
93, 93, 6, 1, True, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 14, 21.6, 0.0, 0.0, 2.2, 47, -8201, 1041606, 13419, 21620, 
93, 108, 15, 2, False, 2019-11-02T15:00:00Z, 3, 0, 11, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 16, 26.8, 0.0, 0.0, 2.7, 47, -11352, 1032242, 14434, 25786, 
