element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
284, 1, 10, 1, False, 2019-08-09T19:00:00Z, 4, 1, 1, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.6, 22.0, 2.1, 55, 0, 12943, 0, 0, 
284, 17, 13, 0, True, 2019-08-17T14:00:00Z, 3, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -2485, 11733, 400, 2885, 
284, 26, 6, 0, True, 2019-08-24T11:30:00Z, 2, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -4255, 7470, 30, 4285, 
284, 40, 19, 0, False, 2019-08-31T14:00:00Z, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -2127, 5464, 15, 2142, 
284, 46, 11, 0, True, 2019-09-14T16:30:00Z, 3, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -1020, 4478, 15, 1035, 
284, 52, 5, 0, False, 2019-09-21T14:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -443, 4060, 10, 453, 
284, 64, 7, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -338, 3737, 6, 344, 
284, 77, 2, 0, True, 2019-10-05T14:00:00Z, 1, 5, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -210, 3529, 9, 219, 
284, 82, 3, 1, False, 2019-10-19T14:00:00Z, 0, 0, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1.0, 0.3, 2.0, 0.3, 53, -139, 3409, 18, 157, 
284, 97, 12, 6, True, 2019-10-27T16:30:00Z, 1, 3, 10, 45, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 37.2, 1.0, 63.0, 10.1, 53, 43, 3499, 91, 48, 
284, 104, 4, 2, False, 2019-11-02T15:00:00Z, 2, 0, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 7.6, 11.3, 6.0, 2.5, 53, 519, 4097, 667, 148, 
