element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
341, 6, 2, 0, True, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 15962, 0, 0, 
341, 16, 11, 0, False, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1352, 16593, 305, 1657, 
341, 28, 13, 0, True, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -967, 16202, 219, 1186, 
341, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -707, 16005, 167, 874, 
341, 48, 7, 0, True, 2019-09-14T14:00:00Z, 4, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -489, 16011, 317, 806, 
341, 56, 9, 2, False, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 5, 0, 18, 38.6, 0.0, 0.0, 3.9, 44, -229, 16038, 320, 549, 
341, 69, 16, 0, True, 2019-09-28T14:00:00Z, 2, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, 1547, 18432, 2497, 950, 
341, 72, 4, 2, False, 2019-10-05T11:30:00Z, 3, 0, 8, 82, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 19, 22.6, 0.0, 0.0, 2.3, 44, -263, 18246, 511, 774, 
341, 89, 18, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 9, 7.2, 0.0, 0.0, 0.7, 44, 56184, 78652, 59809, 3625, 
341, 94, 10, 8, False, 2019-10-27T16:30:00Z, 2, 1, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 12, 3, 39, 88.0, 10.0, 0.0, 9.8, 44, 4302, 80711, 10844, 6542, 
341, 106, 8, 2, False, 2019-11-03T16:30:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 12, 19.6, 0.0, 0.0, 2.0, 44, 51713, 138519, 54737, 3024, 
