element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
476, 2, 15, 2, True, 2019-08-10T14:00:00Z, 1, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 23.4, 24.3, 10.0, 5.8, 50, 0, 8568, 0, 0, 
476, 12, 2, 0, False, 2019-08-17T14:00:00Z, 1, 2, 2, 45, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2.8, 1.3, 1.0, 0.5, 50, 1144, 11943, 2633, 1489, 
476, 22, 11, 2, True, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 13, 13.8, 1.3, 2.0, 1.7, 50, -1871, 10217, 575, 2446, 
476, 36, 9, 1, False, 2019-08-31T14:00:00Z, 3, 1, 4, 90, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 15, 21.4, 3.6, 3.0, 2.8, 50, -546, 10118, 964, 1510, 
476, 42, 8, 2, True, 2019-09-15T13:00:00Z, 3, 1, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 22.0, 12.2, 38.0, 7.2, 50, -378, 10154, 965, 1343, 
476, 59, 16, 5, False, 2019-09-20T19:00:00Z, 1, 3, 6, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 23, 29.4, 13.8, 3.0, 4.6, 50, -51, 10314, 804, 855, 
476, 62, 19, 2, True, 2019-09-28T14:00:00Z, 2, 2, 7, 88, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 11.8, 1.1, 35.0, 4.8, 50, 1426, 12187, 2397, 971, 
476, 71, 1, 1, False, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 12, 22.0, 1.5, 3.0, 2.7, 50, -118, 12128, 980, 1098, 
476, 82, 14, 3, True, 2019-10-19T14:00:00Z, 0, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 22.6, 3.9, 14.0, 4.1, 50, -77, 12241, 883, 960, 
476, 99, 18, 2, False, 2019-10-26T14:00:00Z, 0, 0, 10, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 16.6, 1.0, 11.0, 2.9, 50, -3, 12324, 579, 582, 
476, 103, 12, 3, True, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 28.0, 1.4, 2.0, 3.1, 50, -430, 11983, 547, 977, 
