element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
11, 10, 13, 6, False, 2019-08-11T13:00:00Z, 0, 1, 1, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 25, 37.4, 6.5, 106.0, 15.0, 110, 0, 1474313, 0, 0, 
11, 11, 5, 6, True, 2019-08-17T11:30:00Z, 2, 1, 2, 90, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 25, 42.2, 18.9, 33.0, 9.4, 110, 113772, 1793344, 181990, 68218, 
11, 24, 10, 5, False, 2019-08-24T16:30:00Z, 3, 1, 3, 90, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 17, 7.0, 25.3, 23.0, 5.5, 110, -248663, 1573634, 52971, 301634, 
11, 31, 17, 9, True, 2019-09-01T15:30:00Z, 2, 2, 4, 90, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 35, 47.8, 26.6, 53.0, 12.7, 110, -109901, 1499754, 59121, 169022, 
11, 49, 18, 13, False, 2019-09-15T15:30:00Z, 2, 2, 5, 90, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 54, 69.2, 2.2, 44.0, 11.5, 110, -59610, 1468857, 66384, 125994, 
11, 51, 2, 5, True, 2019-09-22T15:30:00Z, 3, 2, 6, 90, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 26, 34.6, 1.6, 59.0, 9.5, 110, 117466, 1618723, 158891, 41425, 
11, 67, 12, 9, False, 2019-09-30T19:00:00Z, 1, 1, 7, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 33, 42.2, 25.7, 19.0, 8.7, 110, -30817, 1587257, 72845, 103662, 
11, 71, 3, 2, True, 2019-10-06T13:00:00Z, 1, 0, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 12.8, 47.0, 6.1, 110, 201560, 1829633, 219717, 18157, 
11, 88, 15, 2, False, 2019-10-21T19:00:00Z, 1, 0, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 3.6, 4.7, 8.0, 1.6, 111, 133927, 1970131, 185133, 51206, 
11, 91, 7, 2, True, 2019-10-27T16:30:00Z, 2, 2, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 1.0, 12.4, 11.0, 2.4, 111, 52748, 2024573, 105976, 53228, 
11, 101, 20, 8, True, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 27, 39.6, 10.6, 39.0, 8.9, 111, -162894, 1860399, 42836, 205730, 
11, 113, 9, 2, False, 2019-11-09T17:30:00Z, 2, 0, 12, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 11.4, 30.3, 22.0, 6.4, 110, -52840, 1811963, 36266, 89106, 
11, 121, 16, 5, True, 2019-11-23T15:00:00Z, 2, 2, 13, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 10.6, 11.1, 37.0, 5.9, 110, -85518, 1743921, 75823, 161341, 
11, 137, 14, 13, False, 2019-12-01T14:00:00Z, 2, 2, 14, 90, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 58, 78.6, 22.3, 50.0, 15.1, 109, -133989, 1605491, 49088, 183077, 
11, 141, 4, 0, True, 2019-12-05T20:15:00Z, None, None, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 109, 81531, 1701355, 101589, 20058, 
