element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
214, 8, 19, 20, False, 2019-08-10T11:30:00Z, 0, 5, 1, 90, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 55, 103.6, 12.7, 74.0, 19.0, 120, 0, 1768195, 0, 0, 
214, 16, 17, 6, True, 2019-08-17T16:30:00Z, 2, 2, 2, 90, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 20, 44.4, 30.6, 122.0, 19.7, 121, 287873, 2358491, 314059, 26186, 
214, 22, 3, 8, False, 2019-08-25T13:00:00Z, 1, 3, 3, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 30, 43.2, 12.8, 65.0, 12.1, 122, 331963, 2784422, 360262, 28299, 
214, 37, 4, 3, True, 2019-08-31T14:00:00Z, 4, 0, 4, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5.0, 14.5, 10.0, 3.0, 123, 257923, 3117805, 285573, 27650, 
214, 46, 14, 2, False, 2019-09-14T16:30:00Z, 3, 2, 5, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 19, 20.4, 57.8, 95.0, 17.3, 123, -53559, 3082372, 97908, 151467, 
214, 57, 18, 0, True, 2019-09-21T14:00:00Z, 8, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 122, -113776, 2983608, 47865, 161641, 
214, 65, 8, 7, False, 2019-09-28T16:30:00Z, 1, 3, 7, 85, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 20, 46.2, 52.3, 76.0, 17.5, 121, -389049, 2594274, 28794, 417843, 
214, 75, 20, 2, True, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 12.0, 18.1, 49.0, 7.9, 121, 30421, 2660322, 114576, 84155, 
214, 84, 7, 5, False, 2019-10-19T16:30:00Z, 0, 2, 9, 90, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 20, 21.2, 41.8, 36.0, 9.9, 121, -29518, 2633111, 96344, 125862, 
214, 95, 2, 11, True, 2019-10-26T11:30:00Z, 3, 0, 10, 75, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 36, 39.0, 37.3, 83.0, 15.9, 121, 16083, 2657386, 70951, 54868, 
214, 107, 16, 1, True, 2019-11-02T15:00:00Z, 2, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 2, 12.6, 49.6, 46.0, 10.8, 121, 99209, 2776202, 135057, 35848, 
