element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
98, 3, 16, 0, True, 2019-08-10T14:00:00Z, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 0, 1759, 0, 0, 
98, 11, 1, 0, False, 2019-08-17T11:30:00Z, 2, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -329, 1518, 45, 374, 
98, 30, 20, 0, False, 2019-08-25T15:30:00Z, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -189, 1386, 34, 223, 
98, 32, 10, 0, True, 2019-08-31T16:30:00Z, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -172, 1225, 25, 197, 
98, 43, 4, 0, False, 2019-09-14T14:00:00Z, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -102, 1137, 28, 130, 
98, 52, 14, 1, True, 2019-09-21T14:00:00Z, 2, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.1, 0.0, 0.0, 55, 67, 1387, 120, 53, 
98, 61, 2, 1, False, 2019-09-28T14:00:00Z, 2, 2, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8.0, 0.0, 0.0, 0.8, 55, 46, 1613, 129, 83, 
98, 73, 8, 0, True, 2019-10-05T14:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, 5, 1721, 99, 94, 
98, 86, 9, 2, False, 2019-10-19T14:00:00Z, 2, 1, 9, 64, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 8.8, 21.3, 8.0, 3.8, 55, -21, 1832, 82, 103, 
98, 93, 6, 6, True, 2019-10-26T16:30:00Z, 2, 4, 10, 6, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0, 21, 35.8, 34.7, 0.0, 7.1, 55, 51, 1947, 115, 64, 
98, 108, 15, 1, False, 2019-11-02T15:00:00Z, 3, 0, 11, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5.8, 1.0, 8.0, 1.5, 55, 513, 2641, 664, 151, 
