element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
393, 8, 11, 1, True, 2019-08-10T11:30:00Z, 0, 5, 1, 34, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 7, 2.2, 15.8, 0.0, 1.8, 55, 0, 17010, 0, 0, 
393, 13, 4, 2, False, 2019-08-17T14:00:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 14.2, 5.5, 21.0, 4.1, 55, -1263, 17451, 690, 1953, 
393, 29, 18, 0, False, 2019-08-24T14:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1396, 16524, 719, 2115, 
393, 40, 14, 0, True, 2019-08-31T14:00:00Z, 2, 0, 4, 19, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 4.0, 16.2, 21.0, 4.1, 54, -1991, 14817, 348, 2339, 
393, 41, 2, 0, False, 2019-09-16T19:00:00Z, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1598, 13474, 300, 1898, 
393, 60, 12, 1, True, 2019-09-22T13:00:00Z, 2, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0.0, 0.0, 54, -940, 12647, 150, 1090, 
393, 62, 3, 0, False, 2019-09-28T14:00:00Z, 2, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -845, 11930, 138, 983, 
393, 80, 7, 0, True, 2019-10-05T16:30:00Z, 1, 2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -708, 11299, 119, 827, 
393, 85, 8, 0, False, 2019-10-19T11:30:00Z, 2, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -638, 10733, 57, 695, 
393, 100, 15, 9, True, 2019-10-26T14:00:00Z, 1, 1, 10, 85, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 27, 39.2, 36.5, 32.0, 10.8, 52, -267, 10546, 73, 340, 
393, 110, 13, 9, True, 2019-11-02T15:00:00Z, 2, 3, 11, 90, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 30, 50.0, 73.3, 35.0, 15.8, 52, 1538, 12305, 1916, 378, 
