element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
450, 8, 11, 0, True, 2019-08-10T11:30:00Z, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, 0, 18181, 0, 0, 
450, 13, 4, 0, False, 2019-08-17T14:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1322, 18735, 266, 1588, 
450, 29, 18, 0, False, 2019-08-24T14:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -989, 18445, 191, 1180, 
450, 40, 14, 0, True, 2019-08-31T14:00:00Z, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -795, 18178, 168, 963, 
450, 41, 2, 0, False, 2019-09-16T19:00:00Z, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -678, 17988, 163, 841, 
450, 60, 12, 0, True, 2019-09-22T13:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -383, 17878, 93, 476, 
450, 62, 3, 2, False, 2019-09-28T14:00:00Z, 2, 2, 7, 56, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 11, 20.4, 0.0, 0.0, 2.0, 44, -280, 17854, 298, 578, 
450, 80, 7, 1, True, 2019-10-05T16:30:00Z, 1, 2, 8, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 10, 7.0, 0.0, 0.0, 0.7, 44, 17973, 38263, 19150, 1177, 
450, 85, 8, 5, False, 2019-10-19T11:30:00Z, 2, 0, 9, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 9, 1, 28, 54.0, 0.0, 0.0, 5.4, 44, 4234, 41393, 7809, 3575, 
450, 100, 15, 2, True, 2019-10-26T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 13, 19.0, 0.0, 0.0, 1.9, 44, 16022, 58562, 17414, 1392, 
450, 110, 13, 3, True, 2019-11-02T15:00:00Z, 2, 3, 11, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 6, 0, 18, 37.4, 0.0, 0.0, 3.7, 44, 3707, 62825, 6665, 2958, 
