element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
407, 5, 9, 1, False, 2019-08-11T13:00:00Z, 0, 0, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3.0, 0.1, 0.0, 0.3, 45, 0, 17166, 0, 0, 
407, 20, 12, 0, True, 2019-08-19T19:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1528, 18119, 643, 2171, 
407, 30, 5, 0, True, 2019-08-25T15:30:00Z, 1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 45, -1781, 17094, 568, 2349, 
407, 35, 8, 6, False, 2019-09-01T13:00:00Z, 3, 2, 4, 58, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 12, 40.0, 0.2, 66.0, 10.6, 44, -1107, 16624, 675, 1782, 
407, 50, 6, 2, True, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 1, 0, 5, 0, 0, 0, 1, 0, 0, 0, 17, 10.4, 0.8, 17.0, 2.8, 44, 6766, 25979, 11360, 4594, 
407, 54, 7, -1, False, 2019-09-22T13:00:00Z, 1, 1, 6, 72, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 4, 10.0, 1.0, 0.0, 1.1, 44, 6316, 33028, 9105, 2789, 
407, 70, 18, 6, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 26, 19.4, 0.4, 0.0, 2.0, 44, -1966, 31077, 2378, 4344, 
407, 75, 11, 1, False, 2019-10-06T13:00:00Z, 0, 2, 8, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5.0, 0.0, 0.0, 0.5, 44, 1483, 33199, 3552, 2069, 
407, 90, 16, 0, True, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 44, -3503, 29551, 732, 4235, 
407, 96, 13, 2, False, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 20, 37.4, 26.0, 2.0, 6.5, 44, -1206, 28615, 751, 1957, 
407, 101, 1, 1, False, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 11.6, 0.4, 0.0, 1.2, 44, 1045, 30014, 2320, 1275, 
