element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
248, 9, 6, 3, True, 2019-08-11T15:30:00Z, 4, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8.0, 1.2, 2.0, 1.1, 50, 0, 36236, 0, 0, 
248, 20, 20, 2, False, 2019-08-19T19:00:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 10.0, 3.9, 12.0, 2.6, 50, 2846, 47686, 9487, 6641, 
248, 25, 7, 2, True, 2019-08-24T14:00:00Z, 1, 2, 3, 84, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 3.2, 14.6, 43.0, 6.1, 50, -2865, 46399, 4758, 7623, 
248, 39, 16, 8, False, 2019-08-31T11:30:00Z, 1, 1, 4, 81, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 27, 48.0, 32.2, 1.0, 8.1, 50, 273, 49590, 7920, 7647, 
248, 45, 9, 3, True, 2019-09-14T14:00:00Z, 1, 0, 5, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12.0, 2.4, 0.0, 1.4, 50, 23377, 79925, 34086, 10709, 
248, 60, 19, 2, False, 2019-09-22T13:00:00Z, 2, 0, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 15, 18.2, 14.6, 25.0, 5.8, 50, 15464, 97747, 24208, 8744, 
248, 67, 1, 9, True, 2019-09-30T19:00:00Z, 1, 1, 7, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 23, 48.4, 12.0, 24.0, 8.4, 50, -2793, 95755, 11773, 14566, 
248, 76, 13, 1, False, 2019-10-06T15:30:00Z, 1, 0, 8, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 12.2, 13.6, 22.0, 4.8, 50, 38759, 141419, 46526, 7767, 
248, 87, 10, 2, True, 2019-10-20T15:30:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 14.6, 1.7, 7.0, 2.3, 50, -274, 140415, 17227, 17501, 
248, 97, 14, 8, False, 2019-10-27T16:30:00Z, 1, 3, 10, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 32, 42.2, 5.7, 25.0, 7.3, 50, 7097, 149253, 16237, 9140, 
248, 103, 3, 2, False, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 27.4, 14.2, 25.0, 6.7, 51, 86391, 243386, 96753, 10362, 
