element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
336, 6, 2, 0, True, 2019-08-10T16:30:00Z, 3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 16777, 0, 0, 
336, 16, 11, 0, False, 2019-08-17T16:30:00Z, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1704, 20218, 1785, 3489, 
336, 28, 13, 0, True, 2019-08-25T15:30:00Z, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -2590, 19516, 1556, 4146, 
336, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -1117, 19855, 1844, 2961, 
336, 48, 7, 14, True, 2019-09-14T14:00:00Z, 4, 0, 5, 90, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 2, 44, 34.6, 28.8, 22.0, 8.5, 49, -107, 21239, 3090, 3197, 
336, 56, 9, 1, False, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 10.0, 26.2, 10.0, 4.6, 49, 91905, 122511, 103253, 11348, 
336, 69, 16, -2, True, 2019-09-28T14:00:00Z, 2, 1, 7, 30, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, -4, 3.8, 1.0, 0.0, 0.5, 50, 127530, 256712, 140767, 13237, 
336, 72, 4, 0, False, 2019-10-05T11:30:00Z, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -115555, 131430, 1285, 116840, 
336, 89, 18, 2, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 21.4, 23.9, 20.0, 6.5, 49, -7814, 130134, 6732, 14546, 
336, 94, 10, 1, False, 2019-10-27T16:30:00Z, 2, 1, 10, 83, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 7.6, 14.1, 0.0, 2.2, 49, -14494, 115454, 1904, 16398, 
336, 106, 8, 9, False, 2019-11-03T16:30:00Z, 1, 1, 11, 87, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 35, 23.4, 11.7, 0.0, 3.5, 48, -4984, 111775, 6337, 11321, 
