code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home,
1059813, 6, None, 7, None, 12, False, 0, Gameweek 12, False, 
1059826, 7, None, 10, None, 13, False, 0, Gameweek 13, True, 
1059832, 5, None, 7, None, 14, False, 0, Gameweek 14, False, 
1059849, 7, None, 3, None, 15, False, 0, Gameweek 15, True, 
1059860, 18, None, 7, None, 16, False, 0, Gameweek 16, False, 
1059865, 7, None, 4, None, 17, False, 0, Gameweek 17, True, 
1059877, 13, None, 7, None, 18, False, 0, Gameweek 18, False, 
1059885, 7, None, 19, None, 19, False, 0, Gameweek 19, True, 
1059899, 16, None, 7, None, 20, False, 0, Gameweek 20, False, 
1059908, 14, None, 7, None, 21, False, 0, Gameweek 21, False, 
1059915, 7, None, 1, None, 22, False, 0, Gameweek 22, True, 
1059926, 11, None, 7, None, 23, False, 0, Gameweek 23, False, 
1059940, 7, None, 16, None, 24, False, 0, Gameweek 24, True, 
1059944, 7, None, 15, None, 25, False, 0, Gameweek 25, True, 
1059956, 8, None, 7, None, 26, False, 0, Gameweek 26, False, 
1059965, 7, None, 13, None, 27, False, 0, Gameweek 27, True, 
1059974, 4, None, 7, None, 28, False, 0, Gameweek 28, False, 
1059985, 7, None, 18, None, 29, False, 0, Gameweek 29, True, 
1059992, 3, None, 7, None, 30, False, 0, Gameweek 30, False, 
1060005, 10, None, 7, None, 31, False, 0, Gameweek 31, False, 
1060016, 7, None, 5, None, 32, False, 0, Gameweek 32, True, 
1060024, 9, None, 7, None, 33, False, 0, Gameweek 33, False, 
1060036, 7, None, 6, None, 34, False, 0, Gameweek 34, True, 
1060043, 2, None, 7, None, 35, False, 0, Gameweek 35, False, 
1060055, 7, None, 12, None, 36, False, 0, Gameweek 36, True, 
1060071, 20, None, 7, None, 37, False, 0, Gameweek 37, False, 
1060075, 7, None, 17, None, 38, False, 0, Gameweek 38, True, 
