code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home,
1059817, 13, None, 3, None, 12, False, 0, Gameweek 12, False, 
1059822, 3, None, 20, None, 13, False, 0, Gameweek 13, True, 
1059840, 17, None, 3, None, 14, False, 0, Gameweek 14, False, 
1059849, 7, None, 3, None, 15, False, 0, Gameweek 15, False, 
1059852, 3, None, 10, None, 16, False, 0, Gameweek 16, True, 
1059864, 6, None, 3, None, 17, False, 0, Gameweek 17, False, 
1059872, 3, None, 5, None, 18, False, 0, Gameweek 18, True, 
1059882, 3, None, 1, None, 19, False, 0, Gameweek 19, True, 
1059893, 4, None, 3, None, 20, False, 0, Gameweek 20, False, 
1059911, 19, None, 3, None, 21, False, 0, Gameweek 21, False, 
1059912, 3, None, 18, None, 22, False, 0, Gameweek 22, True, 
1059928, 14, None, 3, None, 23, False, 0, Gameweek 23, False, 
1059932, 3, None, 4, None, 24, False, 0, Gameweek 24, True, 
1059942, 3, None, 2, None, 25, False, 0, Gameweek 25, True, 
1059959, 15, None, 3, None, 26, False, 0, Gameweek 26, False, 
1059963, 5, None, 3, None, 27, False, 0, Gameweek 27, False, 
1059972, 3, None, 6, None, 28, False, 0, Gameweek 28, True, 
1059987, 10, None, 3, None, 29, False, 0, Gameweek 29, False, 
1059992, 3, None, 7, None, 30, False, 0, Gameweek 30, True, 
1060011, 20, None, 3, None, 31, False, 0, Gameweek 31, False, 
1060012, 3, None, 13, None, 32, False, 0, Gameweek 32, True, 
1060026, 12, None, 3, None, 33, False, 0, Gameweek 33, False, 
1060032, 3, None, 17, None, 34, False, 0, Gameweek 34, True, 
1060042, 3, None, 9, None, 35, False, 0, Gameweek 35, True, 
1060058, 11, None, 3, None, 36, False, 0, Gameweek 36, False, 
1060062, 3, None, 16, None, 37, False, 0, Gameweek 37, True, 
1060076, 8, None, 3, None, 38, False, 0, Gameweek 38, False, 
