element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
460, 9, 12, 1, False, 2019-08-11T15:30:00Z, 4, 0, 1, 65, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0.0, 0.8, 24.0, 2.4, 70, 0, 115213, 0, 0, 
460, 14, 9, 1, True, 2019-08-18T15:30:00Z, 1, 1, 2, 29, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 11.6, 5.0, 1.5, 70, 11156, 152777, 38435, 27279, 
460, 26, 14, 13, False, 2019-08-24T11:30:00Z, 2, 3, 3, 74, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 56, 67.6, 12.5, 48.0, 12.8, 70, -30725, 126585, 16805, 47530, 
460, 33, 15, 13, True, 2019-08-31T14:00:00Z, 2, 2, 4, 83, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 53, 77.0, 46.8, 61.0, 18.5, 71, 367662, 555628, 412699, 45037, 
460, 50, 20, 14, False, 2019-09-14T14:00:00Z, 2, 5, 5, 76, 3, 0, 0, 1, 1, 0, 0, 1, 0, 0, 3, 68, 95.8, 1.9, 57.0, 15.5, 72, 539919, 1139221, 610091, 70172, 
460, 53, 10, 2, True, 2019-09-22T15:30:00Z, 1, 2, 6, 76, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, -5, 1.4, 0.8, 25.0, 2.7, 73, 548749, 1702311, 611854, 63105, 
460, 63, 4, 2, True, 2019-09-28T14:00:00Z, 2, 0, 7, 83, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -2, 13.2, 28.3, 77.0, 11.9, 75, 767831, 2521808, 795586, 27755, 
460, 78, 16, 8, False, 2019-10-06T13:00:00Z, 1, 4, 8, 83, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 28, 40.2, 10.3, 35.0, 8.6, 76, 153693, 2673073, 223319, 69626, 
460, 83, 13, 2, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.2, 2.6, 63.0, 7.3, 77, 363040, 3078088, 386263, 23223, 
460, 93, 5, 5, False, 2019-10-26T16:30:00Z, 2, 4, 10, 69, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16.6, 12.3, 5.0, 3.4, 78, 81291, 3155689, 129472, 48181, 
460, 109, 18, 12, False, 2019-11-02T17:30:00Z, 1, 2, 11, 87, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 37, 52.6, 13.2, 76.0, 14.2, 78, 94016, 3271285, 172916, 78900, 
