element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
287, 1, 10, 2, False, 2019-08-09T19:00:00Z, 4, 1, 1, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 10, 15.6, 33.9, 2.0, 5.2, 45, 0, 21324, 0, 0, 
287, 17, 13, 10, True, 2019-08-17T14:00:00Z, 3, 1, 2, 90, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 33, 46.6, 58.3, 41.0, 14.6, 45, 13546, 45092, 18880, 5334, 
287, 26, 6, 7, True, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 26, 38.0, 2.2, 37.0, 7.7, 46, 251060, 333226, 293306, 42246, 
287, 40, 19, 2, False, 2019-08-31T14:00:00Z, 2, 0, 4, 77, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0.2, 3.1, 8.0, 1.1, 47, 693891, 1089772, 732227, 38336, 
287, 46, 11, 6, True, 2019-09-14T16:30:00Z, 3, 2, 5, 90, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 24, 46.0, 12.8, 33.0, 9.2, 48, 177537, 1264977, 281589, 104052, 
287, 52, 5, 2, False, 2019-09-21T14:00:00Z, 2, 0, 6, 89, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 8.2, 15.5, 28.0, 5.2, 49, 472528, 1769658, 494150, 21622, 
287, 64, 7, 2, False, 2019-09-28T14:00:00Z, 2, 0, 7, 80, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, -3, 3.8, 2.5, 52.0, 5.8, 50, 121682, 1886599, 188103, 66421, 
287, 77, 2, 2, True, 2019-10-05T14:00:00Z, 1, 5, 8, 79, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 15, 21.0, 37.3, 49.0, 10.7, 50, -107698, 1767780, 57897, 165595, 
287, 82, 3, 3, False, 2019-10-19T14:00:00Z, 0, 0, 9, 80, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5.6, 13.8, 6.0, 2.5, 49, -183343, 1592579, 32857, 216200, 
287, 97, 12, 1, True, 2019-10-27T16:30:00Z, 1, 3, 10, 45, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, -7, 0.0, 11.3, 11.0, 1.6, 49, -60726, 1543497, 29850, 90576, 
287, 104, 4, 1, False, 2019-11-02T15:00:00Z, 2, 0, 11, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.4, 1.3, 0.0, 0.2, 48, -175072, 1367222, 25115, 200187, 
