code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059780, 18, None, 15, None, 8, False, 0, Gameweek 8, True, 
1059790, 17, None, 18, None, 9, False, 0, Gameweek 9, False, 
1059800, 18, None, 3, None, 10, False, 0, Gameweek 10, True, 
1059810, 18, None, 6, None, 11, False, 0, Gameweek 11, True, 
1059818, 14, None, 18, None, 12, False, 0, Gameweek 12, False, 
1059830, 18, None, 5, None, 13, False, 0, Gameweek 13, True, 
1059839, 16, None, 18, None, 14, False, 0, Gameweek 14, False, 
1059844, 9, None, 18, None, 15, False, 0, Gameweek 15, False, 
1059860, 18, None, 7, None, 16, False, 0, Gameweek 16, True, 
1059867, 10, None, 18, None, 17, False, 0, Gameweek 17, False, 
1059880, 18, None, 12, None, 18, False, 0, Gameweek 18, True, 
1059889, 15, None, 18, None, 19, False, 0, Gameweek 19, False, 
1059900, 18, None, 2, None, 20, False, 0, Gameweek 20, True, 
1059910, 18, None, 20, None, 21, False, 0, Gameweek 21, True, 
1059912, 3, None, 18, None, 22, False, 0, Gameweek 22, False, 
1059930, 18, None, 17, None, 23, False, 0, Gameweek 23, True, 
1059933, 2, None, 18, None, 24, False, 0, Gameweek 24, False, 
1059950, 18, None, 8, None, 25, False, 0, Gameweek 25, True, 
1059954, 4, None, 18, None, 26, False, 0, Gameweek 26, False, 
1059968, 12, None, 18, None, 27, False, 0, Gameweek 27, False, 
1059980, 18, None, 10, None, 28, False, 0, Gameweek 28, True, 
1059985, 7, None, 18, None, 29, False, 0, Gameweek 29, False, 
1060000, 18, None, 9, None, 30, False, 0, Gameweek 30, True, 
1060002, 5, None, 18, None, 31, False, 0, Gameweek 31, False, 
1060020, 18, None, 16, None, 32, False, 0, Gameweek 32, True, 
1060023, 6, None, 18, None, 33, False, 0, Gameweek 33, False, 
1060040, 18, None, 14, None, 34, False, 0, Gameweek 34, True, 
1060050, 18, None, 13, None, 35, False, 0, Gameweek 35, True, 
1060061, 19, None, 18, None, 36, False, 0, Gameweek 36, False, 
1060070, 18, None, 11, None, 37, False, 0, Gameweek 37, True, 
1060072, 1, None, 18, None, 38, False, 0, Gameweek 38, False, 
