element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
154, 4, 7, 1, False, 2019-08-10T14:00:00Z, 0, 0, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3.4, 0.1, 0.0, 0.4, 55, 0, 7729, 0, 0, 
154, 15, 18, 0, True, 2019-08-17T14:00:00Z, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -315, 9641, 880, 1195, 
154, 21, 2, 0, False, 2019-08-23T19:00:00Z, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1106, 9030, 398, 1504, 
154, 35, 20, 0, True, 2019-09-01T13:00:00Z, 3, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -1012, 8455, 219, 1231, 
154, 42, 3, 0, False, 2019-09-15T13:00:00Z, 3, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -570, 8149, 267, 837, 
154, 55, 15, 0, True, 2019-09-21T14:00:00Z, 0, 2, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -351, 7929, 170, 521, 
154, 65, 11, 1, True, 2019-09-28T16:30:00Z, 1, 3, 7, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0.6, 0.8, 0.0, 0.1, 53, -447, 7625, 137, 584, 
154, 73, 5, 0, False, 2019-10-05T14:00:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 53, -209, 7526, 117, 326, 
154, 85, 19, 2, True, 2019-10-19T11:30:00Z, 2, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 8, 15.4, 5.8, 33.0, 5.4, 53, -205, 7407, 76, 281, 
154, 92, 4, 2, False, 2019-10-26T14:00:00Z, 3, 2, 10, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 13.2, 2.3, 0.0, 1.6, 53, -5, 7472, 130, 135, 
154, 106, 17, 2, True, 2019-11-03T16:30:00Z, 1, 1, 11, 82, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9, 13.4, 5.3, 0.0, 1.9, 53, -104, 7462, 121, 225, 
