element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
362, 7, 4, 2, True, 2019-08-10T14:00:00Z, 0, 3, 1, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 7.6, 14.5, 9.0, 3.1, 65, 0, 174949, 0, 0, 
362, 15, 8, 2, False, 2019-08-17T14:00:00Z, 1, 0, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 9.0, 12.8, 37.0, 5.9, 65, -26484, 160806, 6129, 32613, 
362, 29, 19, 0, True, 2019-08-24T14:00:00Z, 1, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 64, -48546, 114648, 8548, 57094, 
362, 38, 13, 0, False, 2019-08-31T14:00:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 63, -52229, 63052, 124, 52353, 
362, 49, 1, 0, True, 2019-09-15T15:30:00Z, 2, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 63, -15534, 48744, 91, 15625, 
362, 57, 11, 0, False, 2019-09-21T14:00:00Z, 8, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -5072, 44127, 66, 5138, 
362, 70, 20, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -3567, 40648, 44, 3611, 
362, 79, 15, 0, True, 2019-10-05T14:00:00Z, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -1882, 38881, 69, 1951, 
362, 89, 17, 0, False, 2019-10-19T14:00:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -1324, 37594, 57, 1381, 
362, 99, 3, 0, True, 2019-10-26T14:00:00Z, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -498, 37175, 51, 549, 
362, 109, 6, 0, True, 2019-11-02T17:30:00Z, 1, 2, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 62, -721, 36470, 77, 798, 
