element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
131, 4, 8, 6, True, 2019-08-10T14:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 24, 14.0, 0.0, 0.0, 1.4, 50, 0, 22626, 0, 0, 
131, 18, 15, 2, False, 2019-08-18T13:00:00Z, 1, 0, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 16, 23.6, 0.0, 0.0, 2.4, 50, 5582, 34685, 8505, 2923, 
131, 25, 12, 1, False, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 10, 14.0, 0.0, 0.0, 1.4, 50, -3818, 31680, 1434, 5252, 
131, 34, 2, 6, True, 2019-08-31T14:00:00Z, 1, 0, 4, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 26, 18.4, 0.0, 0.0, 1.8, 50, 2377, 37092, 6176, 3799, 
131, 48, 17, 0, False, 2019-09-14T14:00:00Z, 4, 0, 5, 90, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 0, 13, 16.2, 0.0, 0.0, 1.6, 50, 2165, 42174, 8064, 5899, 
131, 54, 20, 3, True, 2019-09-22T13:00:00Z, 1, 1, 6, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 14, 25.8, 0.0, 0.0, 2.6, 50, -1002, 41688, 2095, 3097, 
131, 64, 14, 9, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 2, 27, 27.4, 0.0, 0.0, 2.7, 50, -1111, 41341, 1705, 2816, 
131, 80, 19, 3, False, 2019-10-05T16:30:00Z, 1, 2, 8, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 4, 0, 16, 34.2, 0.0, 0.0, 3.4, 50, 11449, 55737, 14352, 2903, 
131, 84, 11, 0, True, 2019-10-19T16:30:00Z, 0, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -1161, 54479, 3740, 4901, 
131, 91, 1, 0, False, 2019-10-27T16:30:00Z, 2, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -6285, 48242, 278, 6563, 
131, 105, 9, 2, True, 2019-11-03T14:00:00Z, 0, 2, 11, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 3, 0, 14, 21.2, 0.0, 0.0, 2.1, 50, -4820, 43589, 244, 5064, 
