element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
370, 7, 4, 2, True, 2019-08-10T14:00:00Z, 0, 3, 1, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 3.6, 3.3, 6.0, 1.3, 55, 0, 13737, 0, 0, 
370, 15, 8, 2, False, 2019-08-17T14:00:00Z, 1, 0, 2, 66, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 6.4, 6.8, 6.0, 1.9, 55, -1272, 13837, 640, 1912, 
370, 29, 19, 5, True, 2019-08-24T14:00:00Z, 1, 3, 3, 73, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 19, 39.4, 33.9, 17.0, 9.0, 55, -1517, 12835, 789, 2306, 
370, 38, 13, 10, False, 2019-08-31T14:00:00Z, 1, 1, 4, 70, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 28, 48.2, 13.7, 23.0, 8.5, 55, -220, 13393, 1568, 1788, 
370, 49, 1, 2, True, 2019-09-15T15:30:00Z, 2, 2, 5, 62, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0.0, 12.9, 10.0, 2.2, 55, 24968, 45207, 31700, 6732, 
370, 57, 11, 1, False, 2019-09-21T14:00:00Z, 8, 0, 6, 58, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 5, 6.4, 0.4, 2.0, 0.9, 55, 8491, 55273, 15924, 7433, 
370, 70, 20, 0, False, 2019-09-28T14:00:00Z, 2, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -1720, 54427, 7171, 8891, 
370, 79, 15, 0, True, 2019-10-05T14:00:00Z, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -7401, 47161, 1699, 9100, 
370, 89, 17, 1, False, 2019-10-19T14:00:00Z, 1, 1, 9, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1.0, 0.0, 0.0, 0.1, 55, -6500, 40872, 233, 6733, 
370, 99, 3, 2, True, 2019-10-26T14:00:00Z, 0, 0, 10, 80, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 10.2, 2.5, 11.0, 2.4, 55, -2763, 38452, 309, 3072, 
370, 109, 6, 1, True, 2019-11-02T17:30:00Z, 1, 2, 11, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 10.7, 6.0, 1.7, 55, -3471, 35008, 207, 3678, 
