code, team_home, team_home_score, team_away, team_away_score, event, finished, minutes, event_name, is_home
1059779, 16, None, 6, None, 8, False, 0, Gameweek 8, False, 
1059784, 6, None, 13, None, 9, False, 0, Gameweek 9, True, 
1059794, 5, None, 6, None, 10, False, 0, Gameweek 10, False, 
1059810, 18, None, 6, None, 11, False, 0, Gameweek 11, False, 
1059813, 6, None, 7, None, 12, False, 0, Gameweek 12, True, 
1059828, 11, None, 6, None, 13, False, 0, Gameweek 13, False, 
1059833, 6, None, 19, None, 14, False, 0, Gameweek 14, True, 
1059848, 6, None, 2, None, 15, False, 0, Gameweek 15, True, 
1059855, 8, None, 6, None, 16, False, 0, Gameweek 16, False, 
1059864, 6, None, 3, None, 17, False, 0, Gameweek 17, True, 
1059879, 17, None, 6, None, 18, False, 0, Gameweek 18, False, 
1059884, 6, None, 16, None, 19, False, 0, Gameweek 19, True, 
1059892, 1, None, 6, None, 20, False, 0, Gameweek 20, False, 
1059903, 4, None, 6, None, 21, False, 0, Gameweek 21, False, 
1059914, 6, None, 5, None, 22, False, 0, Gameweek 22, True, 
1059927, 13, None, 6, None, 23, False, 0, Gameweek 23, False, 
1059939, 6, None, 1, None, 24, False, 0, Gameweek 24, True, 
1059945, 9, None, 6, None, 25, False, 0, Gameweek 25, False, 
1059955, 6, None, 12, None, 26, False, 0, Gameweek 26, True, 
1059964, 6, None, 17, None, 27, False, 0, Gameweek 27, True, 
1059972, 3, None, 6, None, 28, False, 0, Gameweek 28, False, 
1059984, 6, None, 8, None, 29, False, 0, Gameweek 29, True, 
1059993, 2, None, 6, None, 30, False, 0, Gameweek 30, False, 
1060003, 6, None, 11, None, 31, False, 0, Gameweek 31, True, 
1060021, 19, None, 6, None, 32, False, 0, Gameweek 32, False, 
1060023, 6, None, 18, None, 33, False, 0, Gameweek 33, True, 
1060036, 7, None, 6, None, 34, False, 0, Gameweek 34, False, 
1060048, 15, None, 6, None, 35, False, 0, Gameweek 35, False, 
1060054, 6, None, 14, None, 36, False, 0, Gameweek 36, True, 
1060065, 10, None, 6, None, 37, False, 0, Gameweek 37, False, 
1060074, 6, None, 20, None, 38, False, 0, Gameweek 38, True, 
