element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
448, 5, 20, 3, True, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12.0, 30.7, 37.0, 8.0, 65, 0, 327240, 0, 0, 
448, 14, 6, 2, False, 2019-08-18T15:30:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4.6, 4.8, 23.0, 3.2, 65, -13230, 342333, 16584, 29814, 
448, 27, 15, 2, False, 2019-08-24T14:00:00Z, 1, 2, 3, 88, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 11.2, 35.2, 1.0, 4.7, 65, -44143, 302392, 9578, 53721, 
448, 36, 3, 12, True, 2019-08-31T14:00:00Z, 3, 1, 4, 90, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 2, 45, 60.2, 31.9, 44.0, 13.6, 64, -51266, 254667, 6721, 57987, 
448, 45, 12, 2, False, 2019-09-14T14:00:00Z, 1, 0, 5, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 5.8, 9.7, 1.0, 1.7, 64, 33295, 301868, 59634, 26339, 
448, 56, 17, 2, True, 2019-09-21T11:30:00Z, 2, 1, 6, 83, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 8, 4.8, 29.3, 10.0, 4.4, 64, -635, 302710, 26864, 27499, 
448, 66, 13, 3, True, 2019-09-29T15:30:00Z, 5, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 14, 13.2, 25.3, 33.0, 7.2, 64, 4715, 312386, 36382, 31667, 
448, 74, 10, 2, False, 2019-10-05T14:00:00Z, 2, 1, 8, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 5, 6.2, 4.3, 0.0, 1.1, 64, -22252, 289483, 11951, 34203, 
448, 86, 5, 9, True, 2019-10-19T14:00:00Z, 2, 1, 9, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 30, 51.4, 37.2, 25.0, 11.4, 64, -7831, 284856, 15015, 22846, 
448, 98, 16, 11, False, 2019-10-25T19:00:00Z, 0, 9, 10, 90, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 42, 58.8, 47.5, 43.0, 14.9, 64, 52753, 342067, 59721, 6968, 
448, 105, 7, 3, False, 2019-11-03T14:00:00Z, 0, 2, 11, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9.0, 17.5, 6.0, 3.3, 65, 178100, 528460, 190063, 11963, 
