element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
53, 7, 18, 0, False, 2019-08-10T14:00:00Z, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 210, 0, 0, 
53, 13, 19, 0, True, 2019-08-17T14:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -29, 213, 23, 52, 
53, 23, 16, 0, True, 2019-08-24T14:00:00Z, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -22, 203, 10, 32, 
53, 37, 11, 0, False, 2019-08-31T14:00:00Z, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -20, 191, 9, 29, 
53, 43, 5, 0, True, 2019-09-14T14:00:00Z, 1, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -5, 196, 21, 26, 
53, 58, 13, 1, False, 2019-09-21T16:30:00Z, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5.2, 6.4, 7.0, 1.9, 50, 24, 295, 49, 25, 
53, 63, 6, 1, False, 2019-09-28T14:00:00Z, 2, 0, 7, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.0, 2.3, 0.0, 0.2, 50, 24, 428, 71, 47, 
53, 72, 17, 1, True, 2019-10-05T11:30:00Z, 3, 0, 8, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2.4, 0.4, 0.0, 0.3, 50, 22, 536, 72, 50, 
53, 81, 2, 0, False, 2019-10-19T14:00:00Z, 2, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 20, 667, 75, 55, 
53, 92, 8, 0, True, 2019-10-26T14:00:00Z, 3, 2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -17, 687, 29, 46, 
53, 104, 14, 0, True, 2019-11-02T15:00:00Z, 2, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 2, 758, 78, 76, 
53, 115, 12, 0, False, 2019-11-10T14:00:00Z, 3, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -15, 796, 37, 52, 
53, 124, 9, 1, True, 2019-11-23T15:00:00Z, 0, 2, 13, 13, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0.8, 1.0, 0.0, 0.2, 50, -17, 848, 46, 63, 
53, 134, 10, 2, False, 2019-11-30T15:00:00Z, 2, 1, 14, 68, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 4.4, 15.9, 0.0, 2.0, 50, -12, 880, 29, 41, 
53, 141, 1, 0, False, 2019-12-05T20:15:00Z, 1, 2, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -9, 886, 24, 33, 
53, 153, 20, 0, True, 2019-12-08T16:30:00Z, 2, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -14, 900, 27, 41, 
